ID,YEAR,d15N,d13C,d2H,d18O,ZONE,Sex,Latitude,Longitude,Delete2
289,2016,17.84,-16.11,NA,NA,DS,1,65.5,-66.52,0
290,1991,17.4,-16.1,-69.31,9.12,BB,0,73.63,-78.45,0
291,1991,17.5,-16.1,NA,NA,BB,0,70.77,-69.267,0
292,1997,17.9,-16.1,-74.96,8.74,BB,0,66.94,-62.254,0
293,2005,18.4,-16.1,-59.92925,7.38838,BB,0,66.21,-62.47,0
294,1992,19.5,-16.1,-67.16,4.66,BB,0,71.72,-74.55,0
295,2005,17.3,-16.1,-62.44,8.75,DS,1,63.1,-64.9503,0
296,2005,17.5,-16.1,-74.8083,7.916,DS,1,60.43,-64.5818,0
297,2005,17.6,-16.1,-50.23,10.691,DS,0,63.23,-64.9943,0
298,2005,18.5,-16.1,-58.5057,7.0766,DS,0,65.3,-63.3012,0
299,2005,18.6,-16.1,-58.969736,8.91627,DS,1,65.32,-63.4097,0
300,2005,18.8,-16.1,-52.580796,9.99826,DS,0,62.43,-64.426,0
301,2005,19,-16.1,-72.6381,8.8024,DS,1,65.17,-64.1228,0
302,2005,19.1,-16.1,-55.09,9.54,DS,1,62.83,-64.6325,0
303,2008,19.8,-16.1,-77.3,NA,FB,0,66.42,-85.3025,0
304,1997,19,-16.1,-91.45,7.21,LS,0,72.54,-93.05,0
305,1997,19,-16.1,-99.25,7.29,LS,0,72.72,-91.744,0
306,1997,19.4,-16.1,-79.87,7.95,LS,0,72.63,-93.22,0
307,1997,19.6,-16.1,-94.46,6.45,LS,0,75.62,-87.53,0
308,1997,19.57,-16.09,-65.41,7.98,BB,0,72.98,-80.096,0
309,1997,19.77,-16.06,-68.74,5.28,BB,0,66.8,-63.74,0
310,1997,20.4,-16.02,-75.23,7.08,BB,0,70.91,-70.601,0
311,1992,17.4,-16,-57.32,8.42,BB,0,67.18,-63.867,0
312,1997,17.5,-16,-46.75,6.42,BB,0,66.48,-61.511,0
313,1997,17.5,-16,-56.86,9.21,BB,0,67.04,-62.477,0
314,2007,17.6,-16,-61.75,9.59,BB,1,66.62,-61.2689,0
315,1991,17.8,-16,-79.16,7.33,BB,0,67.97,-65.05,0
316,1997,17.8,-16,-65.2,8.92,BB,0,66.71,-62.349,0
317,1994,17.9,-16,-61.35,6.41,BB,0,67.17,-62.432,0
318,1997,18.2,-16,-62.2,8.39,BB,1,71.52,-72.721,0
319,1991,18.4,-16,-75.46,6.93,BB,0,69.77,-67.667,0
320,1997,18.6,-16,-62.03,7.4,BB,0,66.61,-62.112,0
321,1997,19.33,-16,-62.66,9.32,BB,0,72.08,-74.259,0
322,1997,19.6,-16,-68.79,7.72,BB,1,72.03,-74.205,0
323,2005,19.8,-16,-62.168116,6.25543,BB,1,66.41,-62.7043,0
324,1992,20,-16,-88.62,2.15,BB,0,73.25,-81.05,1
325,2005,17.8,-16,-55.5602898,9.684472684,DS,0,62.58,-66.5785,0
326,1992,18,-16,-66.41,8.88,DS,0,65.15,-63.45,0
327,2005,18.7,-16,-68.6917,10.0726,DS,0,62.92,-63.7027,0
328,2005,19,-16,-50.5684,8.7482,DS,1,65.25,-63.2708,0
329,2005,19,-16,-49.439502,8.85348,DS,0,65.86,-62.1585,0
330,2008,21.1,-16,-62.1,NA,FB,0,69.69,-79.3729,0
331,1992,19.2,-16,-67.77,6.68,LS,0,75.87,-81.85,0
332,1997,20.6,-16,-80.52,8.94,LS,1,72.78,-93.751,0
333,1997,20.7,-16,NA,NA,LS,0,74.71,-93.053,0
334,1992,20.99,-15.95,-93.07,-0.5,LS,0,73.77,-81.55,1
335,1997,20.85,-15.94,-95.23,7.54,BB,1,73.62,-81.379,0
336,2016,19.19,-15.92,NA,NA,FB,1,63.21,-76.53,0
337,1992,17.7,-15.9,-62.62,7.02,BB,0,68.83,-66.217,0
338,2005,17.9,-15.9,-53.987614,8.60141,BB,1,66.6,-62.0862,0
339,1997,18,-15.9,-49.96,5.83,BB,0,66.55,-61.694,0
340,1992,18,-15.9,-70.05,8.49,BB,0,67.1,-62.733,0
341,1997,18.1,-15.9,-62.09,6.02,BB,1,72.15,-74.63,0
342,2005,18.9,-15.9,-45.513862,7.58858,BB,1,66.62,-61.3127,0
343,2005,19,-15.9,-61.522966,8.71425,BB,1,66.41,-62.2912,0
344,2005,19.2,-15.9,-64.854286,7.93984,BB,1,67.1,-62.7842,0
345,1995,19.28,-15.9,-67.1,6.32,BB,0,73.633,-79.114,0
346,1992,19.9,-15.9,-86.97,3.34,BB,0,73.6,-77.667,0
347,1997,19.9,-15.9,-71.34,5.04,BB,1,72.06,-74.212,0
348,2005,17.1,-15.9,-71.7861,9.1805,DS,1,59.39,-63.7723,0
349,2005,17.6,-15.9,-51.977,9.325,DS,0,62.47,-64.4573,0
350,2005,17.7,-15.9,-55.67,9.429,DS,0,62.49,-64.986,0
351,2005,18.1,-15.9,-62.6273,7.9909,DS,1,65.28,-63.3013,0
352,2005,18.3,-15.9,-72.6199727,9.912969735,DS,1,63.26,-64.9053,0
353,2005,18.3,-15.9,-72.94,11.57,DS,0,65.89,-62.1612,0
354,2005,18.7,-15.9,-77.5239978,7.900916671,DS,0,62.87,-66.4713,0
355,2005,18.9,-15.9,-65.122512,7.56856,DS,1,65.89,-62.391,0
356,2005,19,-15.9,-61.1264,8.5115,DS,0,65.32,-63.2652,0
357,2005,19.1,-15.9,-66.9929,8.7402,DS,0,62.92,-63.7027,0
358,2008,19.7,-15.9,-92.1,NA,FB,1,69.36,-80.1018,0
359,2008,20.1,-15.9,-8,NA,FB,0,66.16,-84.5665,1
360,1992,19.7,-15.9,-79.95,6.72,KB,1,78.48,-75.683,0
361,1997,18.8,-15.9,-84.12,7.6,LS,1,72.15,-90.1,0
362,1992,19.1,-15.9,-75.93,7.37,LS,0,76.1,-78.65,0
363,1997,19.2,-15.9,NA,NA,LS,0,74.95,-92.198,0
364,1997,19.2,-15.9,NA,NA,LS,0,73.93,-95.594,0
365,1997,19.3,-15.9,NA,NA,LS,1,74.79,-92.063,0
366,1997,19.5,-15.9,NA,NA,LS,0,72.4,-92.158,0
367,1997,19.8,-15.9,-91.17,5.23,LS,0,75.77,-87.417,0
368,1997,20,-15.9,-89.47,7.63,LS,0,72.51,-91.385,0
369,1997,20.1,-15.9,NA,NA,LS,1,73.85,-86.596,0
370,1997,19.82,-15.88,-73.09,4.51,BB,0,68.64,-68.135,0
371,1997,18.43,-15.87,-57.94,7.58,BB,0,67.314,-63.11,0
372,1997,17,-15.8,-65.39,9.2,BB,0,66.81,-61.789,0
373,1991,17.5,-15.8,-60.83,7.33,BB,0,67.95,-64.933,0
374,1997,18.5,-15.8,-63.74,7.4,BB,0,70.41,-69.375,0
375,2005,19.1,-15.8,-59.091728,8.1,BB,1,66.35,-62.2033,0
376,1992,19.3,-15.8,-89.47,3.84,BB,0,72.02,-73.433,0
377,2005,17.4,-15.8,-68.4197143,8.726488645,DS,0,62.58,-65.0748,0
378,2005,17.8,-15.8,-65.41,9.074,DS,0,62.81,-65.064,0
379,2005,18,-15.8,-76.3231,8.295,DS,1,60.62,-64.7292,0
380,2005,18.1,-15.8,-59.7,9.99,DS,0,63.23,-64.9815,0
381,1992,18.2,-15.8,-60.5,12.36,DS,0,65.12,-63.45,0
382,1992,18.3,-15.8,-106.65,5.22,DS,0,65.07,-63.533,0
